job_id,title,company,location,posted_at,remote,apply_url,description_snippet
4415220064,Ingénieur DevOps Senior / Spécialiste Kubernetes & Cloud H/F,Jems Group,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4415220064,"Tunis, Tunisia · 2 weeks ago · Over 100 applicantsPromoted by hirer · Actively reviewing applicants"
4402327063,Architecte Technique Senior – Cloud & Infrastructure,Sopra HR Software,Tunisia,2026-06-09 12:55,False,https://www.linkedin.com/jobs/view/4402327063,"Tunis, Tunis, Tunisia · 1 month ago · 37 people clicked applyResponses managed off LinkedIn"
4424166615,Ingénieur Process ,WeWire Tunisia,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4424166615,"Hammamet, Nabeul, Tunisia · 4 days ago · 72 applicantsPromoted by hirer · No response insights available yet"
4422239699,HNW Client Manager (Golden Visa),PassBeyond,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4422239699,Tunisia · 6 hours ago · 9 applicantsPromoted by hirer · No response insights available yet
4422269811,Chargé d’Affaires Services (MPS / DaaS),Proxitec - Solutions IT & Infogérance,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4422269811,Grand Tunis Metropolitan Area · 2 hours ago · 9 applicantsNo response insights available yet
4333959273,Stages PFE 2026,Linedata,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4333959273,"Tunis, Tunis, Tunisia · Reposted 2 months ago · Over 100 people clicked applyResponses managed off LinkedIn"
4372376811,Data Engineer,Devoteam,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4372376811,"Tunis, Tunis, Tunisia · Reposted 6 days ago · Over 100 applicantsPromoted by hirer · No response insights available yet"
4410021797,Senior Data Engineer,Blauwtrust Tunisia,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4410021797,"Tunis, Tunisia · Reposted 1 week ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4334724547,Stage commercial sédentaire Tunis H/F,BASSETTI Group,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4334724547,"Tunis, Tunis, Tunisia · 7 months ago · Over 100 people clicked applyResponses managed off LinkedIn"
4407095020,Architecte réseaux et systèmes,Sopra HR Software,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4407095020,"Tunis, Tunis, Tunisia · 1 month ago · 99 people clicked applyResponses managed off LinkedIn"
4405103745,Junior Java Developer,Zensar Technologies,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4405103745,"Tunis, Tunisia · Reposted 2 weeks ago · Over 100 applicantsPromoted by hirer · Actively reviewing applicants"
4422289003,Unknown Title,Unknown Company,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4422289003,
4419813775,Senior Python Data Scraping Engineer (Freelance),Mindrift,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4419813775,Tunisia · 1 week ago · 59 applicantsNo response insights available yet
4409904193,Test & Qualité 5GC,Amaris Consulting,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4409904193,"Tunis, Tunisia · Reposted 1 week ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4419178502,Ingénieur IA Générative Confirmé,Focus Corporation,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4419178502,"Tunis, Tunisia · 2 weeks ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4421933624,Expert Télécom,PRISMA International,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4421933624,"Tunis, Tunisia · 3 hours ago · 23 applicantsNo response insights available yet"
4407417322,Maintenance - Trainee,Rehlko,Tunisia,2026-06-09 12:56,False,https://www.linkedin.com/jobs/view/4407417322,"Tunis, Tunis, Tunisia · Reposted 3 weeks ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4417529768,Java Software R&D Engineer,Vneuron Risk & Compliance,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4417529768,"Tunis, Tunis, Tunisia · 2 weeks ago · Over 100 people clicked applyResponses managed off LinkedIn"
4410172202,GenAI and Automation Developper (M/F),Forvis Mazars en Tunisie,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4410172202,"Tunis, Tunisia · 4 weeks ago · Over 100 applicantsPromoted by hirer · No response insights available yet"
4424722856,Unknown Title,Unknown Company,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4424722856,
4404178953,Architecte de solution - Jumeau numérique,TEHORA inc.,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4404178953,"Tunis, Tunis, Tunisia · 1 month ago · Over 100 applicantsNo response insights available yet"
4323476451,SRE / SecOps Engineer,Vneuron Risk & Compliance,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4323476451,"Tunis, Tunis, Tunisia · 6 months ago · Over 100 people clicked applyResponses managed off LinkedIn"
4417941843,"Technico-commercial Photovoltaïque - Profil ""Closer"" (100 % Télétravail)",Alirna,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4417941843,Tunisia · 1 week ago · Over 100 people clicked applyResponses managed off LinkedIn
4421590715,"Commercial, Conseiller en ingénierie d'affaires",TEHORA inc.,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4421590715,"Tunis, Tunis, Tunisia · 2 days ago · 96 applicantsNo response insights available yet"
4411536840,Reporting Engineer,FNZ,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4411536840,"Tunis, Tunisia · Reposted 4 days ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4407598457,Forward Deployed AI Engineer,Flatgigs,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4407598457,"Tunis, Tunis, Tunisia · 1 month ago · Over 100 applicantsNo response insights available yet"
4426307077,Java Developer,E-Solutions,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4426307077,"Tunis, Tunisia · 1 hour ago · 27 applicantsPromoted by hirer · Company review time is typically 1 week"
4423358847,Engineering Team Leader,Remote,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4423358847,EMEA · 4 days ago · Over 100 people clicked applyResponses managed off LinkedIn
4371141719,Process Engineer,Visteon Corporation,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4371141719,"Bir El Bey, Ben Arous, Tunisia · Reposted 1 week ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4425656465,Small Business Owner (AI evaluation),Turing,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4425656465,Tunisia · 17 hours ago · 9 applicantsPromoted by hirer · No response insights available yet
4264302296,Un ingénieur Cloud AWS,MONEYCORE TUNISIE,Tunisia,2026-06-09 12:57,False,https://www.linkedin.com/jobs/view/4264302296,Sousse Metropolitan Area · 10 months ago · Over 100 people clicked applyResponses managed off LinkedIn
4409796987,Unknown Title,Unknown Company,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4409796987,
4416640253,Technicien des systèmes de sûreté,TAV Tunisie | Enfidha & Monastir Airports,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4416640253,"Enfidha, Sousse, Tunisia · 3 weeks ago · 63 applicantsPromoted by hirer · No response insights available yet"
4415704988,Ingénieur Exploitation & Flux Applicatifs,Linedata,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4415704988,"Tunis, Tunis, Tunisia · 3 weeks ago · 76 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4413947430,Ingénieur Workplace,PwC,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4413947430,"Tunis, Tunisia · 3 weeks ago · Over 100 applicantsPromoted by hirer · No response insights available yet"
4368177491,Chef de projet H/F,Inetum,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4368177491,"Tunis, Tunis, Tunisia · Reposted 2 weeks ago · Over 100 applicantsPromoted by hirer · Actively reviewing applicants"
4376539825,Internal Control Analyst,TUI,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4376539825,Sousse Metropolitan Area · Reposted 2 hours ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn
4420102442,QA Engineer,Infor,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4420102442,"Tunis, Tunis, Tunisia · 5 days ago · Over 100 people clicked applyPromoted by hirer · Responses managed off LinkedIn"
4408548803,Architecte réseaux et systèmes,Sopra Steria,Tunisia,2026-06-09 12:58,False,https://www.linkedin.com/jobs/view/4408548803,"Tunis, Tunis, Tunisia · 1 month ago · Over 100 people clicked applyResponses managed off LinkedIn"
